,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6931595206260681,0.0,0.6931349039077759,1.0
1,99,0.693300724029541,0.0,0.6929937601089478,1.0
2,149,0.6932740807533264,0.0,0.6930202841758728,1.0
3,199,0.693301796913147,0.0,0.692992627620697,1.0
4,249,0.6929308772087097,1.0,0.6933635473251343,0.0
5,299,0.6930181384086609,1.0,0.6932762265205383,0.0
6,349,0.6930020451545715,1.0,0.6932923793792725,0.0
7,399,0.6927936673164368,1.0,0.6935007572174072,0.0
8,449,0.6933087706565857,0.0,0.6929855942726135,1.0
9,499,0.6930790543556213,1.0,0.6932153701782227,0.0
10,549,0.6934223175048828,0.0,0.6928721070289612,1.0
11,599,0.6936264634132385,0.0,0.692668080329895,1.0
12,649,0.6928842663764954,1.0,0.6934100985527039,0.0
13,699,0.6933228969573975,0.0,0.6929714679718018,1.0
14,749,0.6936230659484863,0.0,0.692671537399292,1.0
15,799,0.6929685473442078,1.0,0.693325936794281,0.0
16,849,0.692894458770752,1.0,0.6933998465538025,0.0
17,899,0.6932408809661865,0.0,0.6930534839630127,1.0
18,949,0.6937350630760193,0.0,0.6925596594810486,1.0
19,999,0.6933582425117493,0.0,0.6929361820220947,1.0
