,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.576879620552063,0.9921875,0.7097080945968628,0.28125
1,99,0.7285120487213135,0.0,0.6589903831481934,1.0
2,149,0.6965399980545044,0.0,0.6897658109664917,1.0
3,199,0.6603788137435913,1.0,0.7270257472991943,0.0
4,249,0.7521730661392212,0.0,0.6374119520187378,1.0
5,299,0.6726032495498657,1.0,0.7141220569610596,0.0
6,349,0.8149913549423218,0.0,0.584549605846405,1.0
7,399,0.7073209285736084,0.0,0.6791714429855347,1.0
8,449,0.6757676601409912,1.0,0.7108341455459595,0.0
9,499,0.6925244331359863,1.0,0.6937702894210815,0.0
10,549,0.686118483543396,1.0,0.7002257108688354,0.0
11,599,0.6902138590812683,1.0,0.6960891485214233,0.0
12,649,0.6929688453674316,1.0,0.6933255195617676,0.0
13,699,0.686224102973938,1.0,0.7001185417175293,0.0
14,749,0.7054004669189453,0.0,0.6810423135757446,1.0
15,799,0.6659598350524902,1.0,0.7210943102836609,0.0
16,849,0.7187056541442871,0.0,0.6682256460189819,1.0
17,899,0.7014194130897522,0.0,0.6849428415298462,1.0
18,949,0.703071117401123,0.0,0.6833207607269287,1.0
19,999,0.6981633305549622,0.0,0.688156008720398,1.0
