,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6931350231170654,1.0,0.6931593418121338,0.0
1,99,0.6925649046897888,1.0,0.6937297582626343,0.0
2,149,0.6931851506233215,0.0,0.6931092143058777,1.0
3,199,0.692690372467041,1.0,0.6936041712760925,0.0
4,249,0.6926979422569275,1.0,0.6935966610908508,0.0
5,299,0.6938182711601257,0.0,0.6924765110015869,1.0
6,349,0.6931780576705933,0.0,0.693116307258606,1.0
7,399,0.6932551860809326,0.0,0.6930391192436218,1.0
8,449,0.693595290184021,0.0,0.6926992535591125,1.0
9,499,0.6928349137306213,1.0,0.6934595108032227,0.0
10,549,0.6934372782707214,0.0,0.6928571462631226,1.0
11,599,0.6931052803993225,1.0,0.6931890845298767,0.0
12,649,0.6930596828460693,1.0,0.6932346820831299,0.0
13,699,0.6934691071510315,0.0,0.6928252577781677,1.0
14,749,0.6933153867721558,0.0,0.6929789781570435,1.0
15,799,0.6932323575019836,0.0,0.6930620074272156,1.0
16,849,0.6929070949554443,1.0,0.6933874487876892,0.0
17,899,0.6931279897689819,1.0,0.6931663751602173,0.0
18,949,0.693318784236908,0.0,0.692975640296936,1.0
19,999,0.6934472322463989,0.0,0.6928471922874451,1.0
