,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.023125365376472473,1.0,0.2485758513212204,1.0
1,99,0.2044602632522583,0.90625,0.1199568510055542,0.9921875
2,149,0.4027109146118164,0.796875,0.2051309049129486,0.9375
3,199,0.4232104420661926,0.7578125,0.24462895095348358,0.96875
4,249,0.3291490972042084,0.75,0.18781645596027374,0.9765625
5,299,0.2281498908996582,0.8125,0.1497003436088562,1.0
6,349,0.11658850312232971,0.953125,0.03542523831129074,1.0
7,399,0.02227194607257843,0.9921875,0.026058875024318695,1.0
8,449,0.20127934217453003,0.890625,0.04937971755862236,1.0
9,499,0.059168580919504166,0.9765625,0.002848913660272956,1.0
10,549,0.015145095065236092,1.0,0.019020620733499527,0.9921875
11,599,0.3846743106842041,0.8515625,0.42109736800193787,0.84375
12,649,0.19780036807060242,0.8984375,0.16255363821983337,0.9921875
13,699,0.0035916927736252546,1.0,0.003584521822631359,1.0
14,749,0.0042418562807142735,1.0,0.00918942503631115,0.9921875
15,799,0.002499653259292245,1.0,0.00415079714730382,1.0
16,849,0.00018958077998831868,1.0,4.190353865851648e-05,1.0
17,899,0.00016281948774121702,1.0,0.00010985921835526824,1.0
18,949,5.091949788038619e-05,1.0,8.760695345699787e-05,1.0
19,999,5.225319182500243e-05,1.0,3.24240027111955e-05,1.0
