,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.02678654156625271,0.9921875,0.0033524674363434315,1.0
1,99,0.03736371174454689,0.9921875,0.0190211720764637,0.9921875
2,149,0.015015829354524612,1.0,0.042750872671604156,1.0
3,199,0.06988883763551712,0.96875,0.04091935232281685,1.0
4,249,0.09009340405464172,0.96875,0.03967346251010895,0.984375
5,299,0.07749930024147034,0.953125,0.023547669872641563,0.9921875
6,349,0.002914621029049158,1.0,0.0011300480691716075,1.0
7,399,0.5569928884506226,0.8359375,0.2623446583747864,0.890625
8,449,0.20966902375221252,0.9375,0.025086194276809692,0.9921875
9,499,0.06804995238780975,0.9609375,0.03589964658021927,0.9921875
10,549,0.012575702741742134,1.0,8.904897867978434e-07,1.0
11,599,0.0016599614173173904,1.0,7.180182365118526e-06,1.0
12,649,0.0011763512156903744,1.0,6.489554671418318e-09,1.0
13,699,0.00120357028208673,1.0,2.032854878597693e-27,1.0
14,749,0.0004855215083807707,1.0,4.520768561633304e-05,1.0
15,799,0.000245502102188766,1.0,2.3658963073103223e-06,1.0
16,849,0.0001674431550782174,1.0,5.150485549165751e-07,1.0
17,899,7.35018402338028e-05,1.0,2.21049305082488e-07,1.0
18,949,8.855570922605693e-05,1.0,1.0644838255302602e-07,1.0
19,999,3.6617388104787096e-05,1.0,5.369388844655987e-08,1.0
