,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.08776339143514633,1.0,0.4217916429042816,1.0
1,99,0.04963011294603348,1.0,0.15603888034820557,1.0
2,149,0.08268466591835022,1.0,0.14831861853599548,1.0
3,199,0.08154255151748657,1.0,0.08925014734268188,1.0
4,249,0.08060316741466522,1.0,0.06294837594032288,1.0
5,299,0.047427453100681305,1.0,0.024114638566970825,1.0
6,349,0.03275783360004425,1.0,0.034262120723724365,1.0
7,399,0.04411860927939415,1.0,0.016820304095745087,1.0
8,449,0.02807294949889183,1.0,0.01694123074412346,1.0
9,499,0.04597892239689827,1.0,0.00995186623185873,1.0
10,549,0.02270379662513733,1.0,0.01565972901880741,1.0
11,599,0.031053747981786728,1.0,0.017207607626914978,1.0
12,649,0.052008017897605896,0.984375,0.00629248283803463,1.0
13,699,0.03184833750128746,1.0,0.005250760819762945,1.0
14,749,0.13151901960372925,0.9375,0.0016037349123507738,1.0
15,799,0.06552547216415405,0.96875,0.006819127127528191,1.0
16,849,0.118967205286026,0.96875,0.015499187633395195,1.0
17,899,0.05315086990594864,0.984375,0.015922628343105316,1.0
18,949,0.05054248496890068,0.96875,0.029573606327176094,1.0
19,999,0.04611147195100784,0.96875,0.016280915588140488,1.0
20,1049,0.13538743555545807,0.921875,0.01444205828011036,1.0
21,1099,0.030405189841985703,0.984375,0.00647482555359602,1.0
22,1149,0.008994695730507374,1.0,0.008168710395693779,1.0
23,1199,0.01091856136918068,1.0,0.004761316813528538,1.0
24,1249,0.027467802166938782,0.984375,0.006958523765206337,1.0
25,1299,0.016675174236297607,1.0,0.012650035321712494,1.0
26,1349,0.030903272330760956,0.984375,0.016118807718157768,1.0
27,1399,0.020069431513547897,1.0,0.0038998203817754984,1.0
28,1449,0.02121938392519951,1.0,0.01600239798426628,1.0
29,1499,0.026092730462551117,1.0,0.004370201379060745,1.0
30,1549,0.0051155658438801765,1.0,0.04017169773578644,0.984375
31,1599,0.06369934976100922,0.96875,0.02918281778693199,1.0
32,1649,0.055420391261577606,0.984375,0.004759421106427908,1.0
33,1699,0.04665989428758621,1.0,0.027272170409560204,1.0
34,1749,0.1178809404373169,0.921875,0.023224826902151108,1.0
35,1799,0.10543029755353928,0.953125,0.04132518917322159,1.0
36,1849,0.06319177150726318,0.984375,0.028846923261880875,1.0
37,1899,0.06737654656171799,0.984375,0.003112786216661334,1.0
38,1949,0.12306191772222519,0.953125,0.007499250583350658,1.0
39,1999,0.13035109639167786,0.953125,0.015525606460869312,1.0
40,2049,0.022157195955514908,1.0,0.010774747468531132,1.0
41,2099,0.06274157762527466,0.953125,0.0027698748745024204,1.0
42,2149,0.061329297721385956,0.984375,0.028359634801745415,1.0
