,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.059436626732349396,1.0,0.4998820424079895,0.9296875
1,99,0.11359739303588867,0.96875,0.42853668332099915,0.875
2,149,0.014960008673369884,1.0,0.18907174468040466,1.0
3,199,0.003307701786980033,1.0,0.12258954346179962,0.9921875
4,249,0.024001799523830414,1.0,0.07710142433643341,1.0
5,299,4.685644307755865e-05,1.0,0.05232718214392662,1.0
6,349,5.591849458141951e-06,1.0,0.03606444597244263,1.0
7,399,1.6318167581630405e-06,1.0,0.025210704654455185,1.0
8,449,1.3762203252554173e-06,1.0,0.017780818045139313,1.0
9,499,9.477198545937426e-07,1.0,0.01261542271822691,1.0
10,549,6.081571655158768e-07,1.0,0.008986026048660278,1.0
11,599,2.515575658890157e-07,1.0,0.0064180162735283375,1.0
12,649,1.5250400053901103e-07,1.0,0.004592433106154203,1.0
13,699,2.8172254928904295e-07,1.0,0.003290005959570408,1.0
14,749,6.793757734158135e-08,1.0,0.0023593660444021225,1.0
15,799,2.0313166260166327e-08,1.0,0.001692738151177764,1.0
16,849,6.661813500841163e-08,1.0,0.001214963966049254,1.0
17,899,2.435960944069393e-08,1.0,0.0008724716608412564,1.0
18,949,1.5089705485138438e-08,1.0,0.0006266565178520977,1.0
19,999,5.752589959939769e-09,1.0,0.000450129562523216,1.0
