,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.11730178445577621,0.9375,0.06148069351911545,1.0
1,99,0.1556164175271988,0.9296875,0.046622615307569504,1.0
2,149,0.08203338086605072,0.9765625,0.0594509020447731,1.0
3,199,0.1169026643037796,0.9296875,0.08222369849681854,0.9921875
4,249,0.1320483386516571,0.953125,0.03537064790725708,1.0
5,299,0.13207030296325684,0.9609375,0.0803539901971817,0.9921875
6,349,0.1413523405790329,0.9375,0.07505543529987335,1.0
7,399,0.1866377294063568,0.921875,0.06506085395812988,1.0
8,449,0.08514939248561859,0.96875,0.04064805433154106,0.9921875
9,499,0.06497588008642197,0.96875,0.027366071939468384,1.0
10,549,0.05290275067090988,0.9765625,0.026250718161463737,1.0
11,599,0.06156059727072716,0.984375,0.028519336134195328,1.0
12,649,0.10141891986131668,0.9609375,0.02642119862139225,1.0
13,699,0.09242592751979828,0.953125,0.039279505610466,1.0
14,749,0.07848548144102097,0.96875,0.024381864815950394,1.0
15,799,0.04510979354381561,0.984375,0.009659127332270145,1.0
16,849,0.09000139683485031,0.953125,0.02648710459470749,1.0
17,899,0.07555194199085236,0.9453125,0.04036486893892288,0.9921875
18,949,0.07146678119897842,0.9609375,0.032823458313941956,1.0
19,999,0.15162260830402374,0.9453125,0.1023491695523262,0.96875
