,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.26794254779815674,0.8359375,0.377532035112381,1.0
1,99,0.011480670422315598,1.0,0.13858912885189056,0.9921875
2,149,0.3149755001068115,0.859375,0.2930254340171814,0.9609375
3,199,0.34349334239959717,0.8671875,0.20955118536949158,0.984375
4,249,0.23544102907180786,0.875,0.1753765344619751,1.0
5,299,0.17991860210895538,0.9140625,0.19939729571342468,0.9765625
6,349,0.18937420845031738,0.921875,0.11607403308153152,1.0
7,399,0.1714131385087967,0.921875,0.16481125354766846,0.9921875
8,449,0.011109167709946632,1.0,0.03290833160281181,1.0
9,499,0.08407020568847656,0.9609375,0.01702296920120716,1.0
10,549,0.42798322439193726,0.8359375,0.09616953134536743,1.0
11,599,0.011324696242809296,1.0,0.10917660593986511,1.0
12,649,0.004769584629684687,1.0,0.03224796801805496,1.0
13,699,0.002770734252408147,1.0,0.014988246373832226,1.0
14,749,0.0009745563147589564,1.0,0.008079875260591507,1.0
15,799,0.000988885760307312,1.0,0.004598692525178194,1.0
16,849,0.00047155373613350093,1.0,0.002681116107851267,1.0
17,899,0.00017765816301107407,1.0,0.0016000944888219237,1.0
18,949,0.00011285426444374025,1.0,0.0009689863072708249,1.0
19,999,0.00014794248272664845,1.0,0.000590846932027489,1.0
