,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.0005124399322085083,1.0,0.003083488205447793,1.0
1,99,0.0008577354601584375,1.0,0.00028810909134335816,1.0
2,149,0.0001111530582420528,1.0,2.966634201584384e-05,1.0
3,199,5.0501563237048686e-05,1.0,8.050994438235648e-06,1.0
4,249,2.9471044399542734e-05,1.0,3.94197513742256e-06,1.0
5,299,1.6549109204788692e-05,1.0,1.246677356903092e-06,1.0
6,349,8.202370736398734e-06,1.0,1.0058179213956464e-06,1.0
7,399,5.230781880527502e-06,1.0,4.5519905711444153e-07,1.0
8,449,3.439997499299352e-06,1.0,3.014358753716806e-07,1.0
9,499,1.8949759805764188e-06,1.0,1.385912185014604e-07,1.0
10,549,1.3704559478355804e-06,1.0,1.3129094611485925e-07,1.0
11,599,1.9241704194428166e-06,1.0,2.0622373995138332e-06,1.0
12,649,1.2192865597171476e-06,1.0,4.3311973740856047e-07,1.0
13,699,4.988211799172859e-07,1.0,1.8296265125172795e-07,1.0
14,749,2.680351656181301e-07,1.0,9.103560216772166e-08,1.0
15,799,1.52848997458932e-07,1.0,5.499075683701449e-08,1.0
16,849,1.5015065457646415e-07,1.0,3.4103340595947884e-08,1.0
17,899,8.930815909025114e-08,1.0,2.1613413281329485e-08,1.0
18,949,5.798390745326287e-08,1.0,1.3254032538156935e-08,1.0
19,999,2.7756673404155663e-08,1.0,8.586370725538472e-09,1.0
