,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.1625266820192337,0.9453125,0.1374700367450714,0.96875
1,99,0.024878153577446938,0.9921875,0.03993837535381317,0.984375
2,149,0.07592363655567169,0.96875,0.060802657157182693,1.0
3,199,0.05317193269729614,0.984375,0.013044867664575577,1.0
4,249,0.15064021944999695,0.9453125,0.028796087950468063,1.0
5,299,0.1145099550485611,0.9765625,0.024900035932660103,1.0
6,349,0.07677111774682999,0.96875,0.009146148338913918,1.0
7,399,0.07413741201162338,0.9375,0.03736308962106705,1.0
8,449,0.05492669343948364,0.9765625,0.030020389705896378,1.0
9,499,0.10591922700405121,0.9453125,0.11159360408782959,0.9765625
10,549,0.08424003422260284,0.9609375,0.025449048727750778,1.0
11,599,0.005079726222902536,1.0,0.07867524027824402,1.0
12,649,0.0556517168879509,0.9609375,0.05082738399505615,1.0
13,699,0.013584989123046398,0.9921875,0.020825041458010674,1.0
14,749,0.02169664017856121,0.9921875,0.0005510595510713756,1.0
15,799,0.01930951327085495,1.0,0.020679188892245293,0.9921875
16,849,0.0007553935283794999,1.0,0.000801649468485266,1.0
17,899,0.0049716392531991005,1.0,0.003985595423728228,1.0
18,949,0.05252646654844284,0.9765625,0.05500398576259613,0.9765625
19,999,0.0025639256928116083,1.0,0.022986866533756256,1.0
