,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.5713304281234741,0.640625,0.40488356351852417,0.96875
1,99,0.07503648102283478,1.0,0.0646122395992279,0.984375
2,149,0.753058671951294,0.0,0.6530419588088989,0.859375
3,199,0.6512947082519531,1.0,0.7385231852531433,0.0234375
4,249,0.6828640103340149,1.0,0.7063811421394348,0.015625
5,299,0.7324731349945068,0.0234375,0.6484061479568481,0.953125
6,349,0.6479050517082214,0.953125,0.7357468605041504,0.0234375
7,399,0.7873979806900024,0.0078125,0.6091866493225098,0.9921875
8,449,0.6630602478981018,1.0,0.7236906290054321,0.0078125
9,499,0.6568087339401245,1.0,0.7308571934700012,0.0
10,549,0.6923384070396423,1.0,0.6936354041099548,0.0078125
11,599,0.7776985168457031,0.0,0.6156966686248779,1.0
12,649,0.6384203433990479,1.0,0.7514240741729736,0.0078125
13,699,0.6137740612030029,1.0,0.7795976400375366,0.0
14,749,0.688941240310669,1.0,0.6974487900733948,0.0
15,799,0.6715911626815796,0.9921875,0.714134693145752,0.0078125
16,849,0.6877853870391846,0.90625,0.6997190117835999,0.0234375
17,899,0.7015708088874817,0.0078125,0.6852664947509766,0.9921875
18,949,0.6576191782951355,1.0,0.7299841046333313,0.0
19,999,0.7189865112304688,0.0,0.6679588556289673,1.0
