,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6929592490196228,1.0,0.6933351755142212,0.0
1,99,0.6928490996360779,1.0,0.6934453845024109,0.0
2,149,0.6935718059539795,0.0,0.692722737789154,1.0
3,199,0.693019688129425,1.0,0.6932746767997742,0.0
4,249,0.6935011744499207,0.0,0.6927933096885681,1.0
5,299,0.6932655572891235,0.0,0.6930288076400757,1.0
6,349,0.6927052140235901,1.0,0.6935893893241882,0.0
7,399,0.6933870911598206,0.0,0.6929073929786682,1.0
8,449,0.6926088929176331,1.0,0.6936858296394348,0.0
9,499,0.6928236484527588,1.0,0.6934707760810852,0.0
10,549,0.6933488249778748,0.0,0.6929455399513245,1.0
11,599,0.692988395690918,1.0,0.6933059692382812,0.0
12,649,0.6933693289756775,0.0,0.6929251551628113,1.0
13,699,0.6928002238273621,1.0,0.6934943199157715,0.0
14,749,0.6931858062744141,0.0,0.6931084990501404,1.0
15,799,0.6932322978973389,0.0,0.6930620670318604,1.0
16,849,0.693239688873291,0.0,0.693054735660553,1.0
17,899,0.6928026080131531,1.0,0.6934918165206909,0.0
18,949,0.6935495734214783,0.0,0.6927449703216553,1.0
19,999,0.6935327053070068,0.0,0.6927618980407715,1.0
