,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.015927482396364212,0.9921875,0.015436415560543537,1.0
1,99,0.006346472073346376,0.9921875,2.815399606156954e-12,1.0
2,149,0.0022740766871720552,1.0,0.0008828827412799001,1.0
3,199,0.01027151383459568,0.9921875,0.0025776997208595276,1.0
4,249,0.00029716332210227847,1.0,0.00026713241823017597,1.0
5,299,0.00016770439106039703,1.0,8.643454202683643e-05,1.0
6,349,6.463508179876953e-05,1.0,4.4402484491001815e-05,1.0
7,399,3.562995698302984e-05,1.0,2.344040694879368e-05,1.0
8,449,1.8850261767511256e-05,1.0,1.5048634850245435e-05,1.0
9,499,2.3342017811955884e-05,1.0,9.646983016864397e-06,1.0
10,549,1.646377131692134e-05,1.0,5.817561486765044e-06,1.0
11,599,7.13642657501623e-06,1.0,3.789868969761301e-06,1.0
12,649,5.760778094554553e-06,1.0,2.3113661882234737e-06,1.0
13,699,1.4801698853261769e-06,1.0,1.5392926115964656e-06,1.0
14,749,1.6633409813948674e-06,1.0,9.890420642477693e-07,1.0
15,799,5.932640192440886e-07,1.0,6.387290341081098e-07,1.0
16,849,3.327796775920433e-07,1.0,4.122505288250977e-07,1.0
17,899,4.6601402914348e-07,1.0,2.671037293566769e-07,1.0
18,949,1.361316606107721e-07,1.0,1.6973014282939403e-07,1.0
19,999,8.210425050947379e-08,1.0,1.0935007566104105e-07,1.0
