,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.69285649061203,1.0,0.6934379935264587,0.0
1,99,0.6929395198822021,1.0,0.6933549046516418,0.0
2,149,0.6936056613922119,0.0,0.6926889419555664,1.0
3,199,0.6931914687156677,0.0,0.6931028962135315,1.0
4,249,0.6930736303329468,1.0,0.6932207942008972,0.0
5,299,0.692882239818573,1.0,0.693412184715271,0.0
6,349,0.6932224035263062,0.0,0.6930719614028931,1.0
7,399,0.692632257938385,1.0,0.6936623454093933,0.0
8,449,0.6933062076568604,0.0,0.6929882168769836,1.0
9,499,0.6932639479637146,0.0,0.6930304765701294,1.0
10,549,0.6926815509796143,1.0,0.6936129927635193,0.0
11,599,0.6931217908859253,1.0,0.6931726336479187,0.0
12,649,0.6931930780410767,0.0,0.6931012272834778,1.0
13,699,0.6933621168136597,0.0,0.6929324269294739,1.0
14,749,0.692782461643219,1.0,0.6935120224952698,0.0
15,799,0.6933237910270691,0.0,0.6929706335067749,1.0
16,849,0.6932930946350098,0.0,0.6930013298988342,1.0
17,899,0.6929647922515869,1.0,0.6933296322822571,0.0
18,949,0.6932109594345093,0.0,0.6930833458900452,1.0
19,999,0.6933413147926331,0.0,0.6929531097412109,1.0
