,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6045430302619934,1.0,0.7903718948364258,0.0
1,99,0.7920050621032715,0.0,0.6031889319419861,1.0
2,149,0.6935685276985168,0.0,0.6927260160446167,1.0
3,199,0.6299593448638916,1.0,0.7605986595153809,0.0
4,249,0.672881007194519,1.0,0.7138326168060303,0.0
5,299,0.7496852874755859,0.0,0.6396353244781494,1.0
6,349,0.708554744720459,0.0,0.6779733896255493,1.0
7,399,0.649522066116333,1.0,0.7387626767158508,0.0
8,449,0.6959793567657471,0.0,0.690322995185852,1.0
9,499,0.7259224057197571,0.0,0.6614120602607727,1.0
10,549,0.7137328386306763,0.0,0.6729767322540283,1.0
11,599,0.6983093023300171,0.0,0.6880115866661072,1.0
12,649,0.6653271317481995,1.0,0.7217632532119751,0.0
13,699,0.6954153776168823,0.0,0.6908841133117676,1.0
14,749,0.6924425959587097,1.0,0.6938522458076477,0.0
15,799,0.6976479887962341,0.0,0.688666582107544,1.0
16,849,0.690060555934906,1.0,0.6962432861328125,0.0
17,899,0.6826652884483337,1.0,0.7037402391433716,0.0
18,949,0.7005217671394348,0.0,0.6858265995979309,1.0
19,999,0.6961113214492798,0.0,0.6901918649673462,1.0
