,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.5694024562835693,0.4140625,0.6126524209976196,0.9609375
1,99,0.6972340941429138,0.0,0.6890769600868225,1.0
2,149,0.6936911344528198,0.0,0.6926036477088928,1.0
3,199,0.6935726404190063,0.0,0.6927219033241272,1.0
4,249,0.6931962966918945,0.0,0.6930980086326599,1.0
5,299,0.6931535601615906,0.0,0.6931408047676086,1.0
6,349,0.6930440068244934,1.0,0.693250298500061,0.0
7,399,0.6932045221328735,0.0,0.6930898427963257,1.0
8,449,0.6913939118385315,1.0,0.6949034333229065,0.0
9,499,0.6930974721908569,1.0,0.6931968331336975,0.0
10,549,0.6930832266807556,1.0,0.6932111382484436,0.0
11,599,0.6931865215301514,0.0,0.6931079030036926,1.0
12,649,0.6934049725532532,0.0,0.692889392375946,1.0
13,699,0.6926060318946838,1.0,0.693688690662384,0.0
14,749,0.6929116249084473,1.0,0.6933827996253967,0.0
15,799,0.6927346587181091,1.0,0.6935599446296692,0.0
16,849,0.6930956840515137,1.0,0.6931986808776855,0.0
17,899,0.692916214466095,1.0,0.6933782696723938,0.0
18,949,0.6931242346763611,1.0,0.6931701898574829,0.0
19,999,0.6907923221588135,1.0,0.6955076456069946,0.0
