,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.017675111070275307,1.0,0.003649930004030466,1.0
1,99,0.0007396846194751561,1.0,0.0005222131730988622,1.0
2,149,0.00017062788538169116,1.0,0.00028356321854516864,1.0
3,199,5.355811299523339e-05,1.0,9.05317283468321e-05,1.0
4,249,2.6291399990441278e-05,1.0,5.0540118536446244e-05,1.0
5,299,1.2426247849361971e-05,1.0,3.260663652326912e-05,1.0
6,349,6.775790097890422e-06,1.0,2.0653958927141502e-05,1.0
7,399,5.256400982034393e-06,1.0,1.3275146557134576e-05,1.0
8,449,4.8264305405609775e-06,1.0,8.633076504338533e-06,1.0
9,499,2.132839199475711e-06,1.0,5.502673957380466e-06,1.0
10,549,1.4129445844446309e-06,1.0,3.536262056513806e-06,1.0
11,599,9.316999012298766e-07,1.0,2.3020188564260025e-06,1.0
12,649,7.261538144121005e-07,1.0,1.3169461681172834e-06,1.0
13,699,3.563282575669291e-07,1.0,8.56442397889623e-07,1.0
14,749,2.5956148874684004e-07,1.0,5.785750545328483e-07,1.0
15,799,2.0751430440668628e-07,1.0,4.5148789240556653e-07,1.0
16,849,1.3618276284432795e-07,1.0,2.8001886676065624e-07,1.0
17,899,7.31647560314741e-08,1.0,1.68034858916144e-07,1.0
18,949,3.871755183126879e-08,1.0,1.0364851021904542e-07,1.0
19,999,3.056265285295012e-08,1.0,6.719331224758207e-08,1.0
