,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6924957633018494,1.0,0.6937988996505737,0.0
1,99,0.692491888999939,1.0,0.6938028335571289,0.0
2,149,0.6927976012229919,1.0,0.6934968829154968,0.0
3,199,0.6936242580413818,0.0,0.6926703453063965,1.0
4,249,0.6928055286407471,1.0,0.6934890151023865,0.0
5,299,0.6928206086158752,1.0,0.6934738755226135,0.0
6,349,0.6926905512809753,1.0,0.6936039924621582,0.0
7,399,0.6930925846099854,1.0,0.6932017803192139,0.0
8,449,0.6926290988922119,1.0,0.6936655044555664,0.0
9,499,0.6937519907951355,0.0,0.6925427913665771,1.0
10,549,0.6927685737609863,1.0,0.693526029586792,0.0
11,599,0.6928902268409729,1.0,0.6934041380882263,0.0
12,649,0.6931142210960388,1.0,0.6931800842285156,0.0
13,699,0.6929775476455688,1.0,0.6933169364929199,0.0
14,749,0.6931275129318237,1.0,0.6931668519973755,0.0
15,799,0.6932277679443359,0.0,0.6930665373802185,1.0
16,849,0.6932277083396912,0.0,0.6930667161941528,1.0
17,899,0.69307541847229,1.0,0.6932189464569092,0.0
18,949,0.6928619146347046,1.0,0.6934325695037842,0.0
19,999,0.6928582191467285,1.0,0.6934361457824707,0.0
