,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.693004846572876,1.0,0.6932896375656128,0.0
1,99,0.6934638023376465,0.0,0.6928306221961975,1.0
2,149,0.6933497786521912,0.0,0.6929445862770081,1.0
3,199,0.693256676197052,0.0,0.6930376887321472,1.0
4,249,0.6929618120193481,1.0,0.6933326125144958,0.0
5,299,0.6931443214416504,1.0,0.6931500434875488,0.0
6,349,0.6927832961082458,1.0,0.6935111880302429,0.0
7,399,0.692884087562561,1.0,0.6934102177619934,0.0
8,449,0.693690299987793,0.0,0.6926044225692749,1.0
9,499,0.6931726932525635,0.0,0.693121612071991,1.0
10,549,0.6931259632110596,1.0,0.6931684613227844,0.0
11,599,0.6932417750358582,0.0,0.6930526494979858,1.0
12,649,0.6929849982261658,1.0,0.6933093667030334,0.0
13,699,0.6931202411651611,1.0,0.6931741833686829,0.0
14,749,0.6932259798049927,0.0,0.6930684447288513,1.0
15,799,0.6933370232582092,0.0,0.69295734167099,1.0
16,849,0.6930941939353943,1.0,0.6932001709938049,0.0
17,899,0.6935819983482361,0.0,0.6927124261856079,1.0
18,949,0.6932374238967896,0.0,0.6930570006370544,1.0
19,999,0.6932597756385803,0.0,0.6930345296859741,1.0
