,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.3190162479877472,0.84375,0.0964479073882103,0.984375
1,99,0.11314677447080612,0.9296875,0.05368035286664963,1.0
2,149,0.10297556221485138,0.9296875,0.07872273772954941,0.9921875
3,199,0.05441996082663536,0.96875,0.06072835624217987,0.984375
4,249,0.08156363666057587,0.9609375,0.11194019019603729,0.953125
5,299,0.10385575890541077,0.9609375,0.05359041318297386,1.0
6,349,0.07563093304634094,0.9609375,0.06992164254188538,1.0
7,399,0.14797374606132507,0.921875,0.06395812332630157,1.0
8,449,0.0494454987347126,0.9765625,0.03680712729692459,1.0
9,499,0.09742356836795807,0.96875,0.017280586063861847,1.0
10,549,0.02614712528884411,0.984375,0.0873807743191719,0.9765625
11,599,0.07076673954725266,0.9609375,0.06577573716640472,1.0
12,649,0.07391311973333359,0.96875,0.04087670519948006,1.0
13,699,0.04460969194769859,0.984375,0.012955455109477043,1.0
14,749,0.044184718281030655,0.9765625,0.027052775025367737,1.0
15,799,0.11989834904670715,0.9765625,0.0020276920404285192,1.0
16,849,0.08290058374404907,0.953125,0.03141530975699425,1.0
17,899,0.04233691096305847,0.9765625,0.039675626903772354,1.0
18,949,0.035709455609321594,0.984375,0.042890459299087524,0.9921875
19,999,0.08922496438026428,0.9609375,0.06312170624732971,0.9921875
