,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.04299188032746315,0.984375,0.0439416840672493,1.0
1,99,0.29638755321502686,0.953125,7.040537752800446e-07,1.0
2,149,0.047911856323480606,0.984375,0.011146487668156624,1.0
3,199,0.02569468691945076,0.9921875,0.02858811616897583,1.0
4,249,0.520196259021759,0.9296875,3.082300414902761e-09,1.0
5,299,0.004424639977514744,1.0,0.007978003472089767,1.0
6,349,0.03198932483792305,0.9921875,0.024155039340257645,1.0
7,399,0.026490051299333572,0.9921875,0.014707948081195354,1.0
8,449,0.0032433359883725643,1.0,0.016322754323482513,1.0
9,499,0.0055008078925311565,1.0,0.009402839466929436,1.0
10,549,0.6409784555435181,0.90625,6.151185246924817e-13,1.0
11,599,0.054634932428598404,0.9765625,0.004490744322538376,1.0
12,649,0.03660489246249199,0.984375,0.000590905430726707,1.0
13,699,0.05203446000814438,0.984375,0.000879573926795274,1.0
14,749,0.006528288125991821,0.9921875,0.002480089198797941,1.0
15,799,0.3060418963432312,0.96875,9.060507863978273e-07,1.0
16,849,0.04308200627565384,1.0,0.0646621361374855,0.9765625
17,899,0.030669523403048515,1.0,0.0390067994594574,0.984375
18,949,0.13736653327941895,0.953125,0.10548673570156097,0.9765625
19,999,0.020066941156983376,0.9921875,0.004547640681266785,1.0
