,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.004779755137860775,1.0,0.009080905467271805,1.0
1,99,0.003600680036470294,1.0,0.004645531065762043,1.0
2,149,0.00016242069250438362,1.0,0.0002326377434656024,1.0
3,199,0.00011227449431316927,1.0,0.001937233842909336,1.0
4,249,0.0002525548334233463,1.0,0.00011730595724657178,1.0
5,299,4.24298232246656e-05,1.0,0.0003718689549714327,1.0
6,349,8.929167233873159e-05,1.0,8.52195080369711e-06,1.0
7,399,1.6098274500109255e-05,1.0,5.624385266855825e-06,1.0
8,449,1.1066270417359192e-05,1.0,3.891067535732873e-06,1.0
9,499,5.272474481898826e-06,1.0,3.4708068596955854e-06,1.0
10,549,3.3630251436989056e-06,1.0,2.0950108591932803e-05,1.0
11,599,2.8479382308432832e-05,1.0,2.3052723918226548e-05,1.0
12,649,7.931306754471734e-06,1.0,5.2689620133605786e-06,1.0
13,699,5.7268287491751835e-05,1.0,2.514496145522571e-06,1.0
14,749,0.021679261699318886,0.9921875,0.003467802656814456,1.0
15,799,0.07131548225879669,0.9609375,0.017218641936779022,0.9921875
16,849,0.16534042358398438,0.953125,0.03296612948179245,1.0
17,899,0.0968913733959198,0.96875,0.03697378188371658,1.0
18,949,0.03703569248318672,0.9921875,0.008960314095020294,1.0
19,999,0.04042477905750275,0.9921875,0.006434323266148567,1.0
