,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.08674317598342896,0.953125,0.1863935887813568,0.9375
1,99,0.15849360823631287,0.921875,0.0980275422334671,0.96875
2,149,0.4330613613128662,0.7421875,0.35500457882881165,0.921875
3,199,0.19134736061096191,0.9609375,0.15737903118133545,0.9921875
4,249,0.12070243060588837,0.9140625,0.07595333456993103,1.0
5,299,0.21391236782073975,0.921875,0.11999461054801941,0.984375
6,349,0.2086983323097229,0.8984375,0.1644349992275238,0.9921875
7,399,0.13056042790412903,0.953125,0.17111605405807495,0.96875
8,449,0.2700626850128174,0.890625,0.07761671394109726,0.9921875
9,499,0.11130762845277786,0.953125,0.08897386491298676,0.9921875
10,549,0.08890928328037262,0.953125,0.36176809668540955,0.8515625
11,599,0.18483607470989227,0.921875,0.08399506658315659,0.9921875
12,649,0.13363994657993317,0.9609375,0.17048104107379913,0.9453125
13,699,0.11281700432300568,0.9609375,0.038088224828243256,1.0
14,749,0.16387182474136353,0.90625,0.08117382228374481,0.984375
15,799,0.09933994710445404,0.9453125,0.05780404806137085,0.9921875
16,849,0.06271471828222275,0.96875,0.047155752778053284,1.0
17,899,0.09301839768886566,0.9609375,0.023839622735977173,1.0
18,949,0.04929344356060028,0.984375,0.017382293939590454,1.0
19,999,0.16863584518432617,0.9453125,0.026358384639024734,1.0
