,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.1385713815689087,0.9453125,0.0953805148601532,0.9765625
1,99,0.09289652854204178,0.9765625,0.04225851222872734,0.9921875
2,149,0.0851861983537674,0.9609375,0.006626971997320652,1.0
3,199,0.0573573037981987,0.9765625,0.010619163513183594,1.0
4,249,0.09466137737035751,0.9453125,0.024150021374225616,1.0
5,299,0.07750371843576431,0.9609375,0.03677309304475784,1.0
6,349,0.020060449838638306,0.9921875,0.042258184403181076,1.0
7,399,0.16174930334091187,0.9296875,0.11283233016729355,0.9765625
8,449,0.0071921455673873425,0.9921875,0.0024153427220880985,1.0
9,499,0.1527862250804901,0.9453125,0.05525816231966019,0.9921875
10,549,0.04657518118619919,0.984375,0.01001904346048832,1.0
11,599,0.14525020122528076,0.9609375,0.003560497425496578,1.0
12,649,0.06892446428537369,0.9765625,0.014202682301402092,1.0
13,699,0.0633939728140831,0.984375,0.009099581278860569,1.0
14,749,0.0823276937007904,0.96875,0.040065497159957886,0.984375
15,799,0.11665107309818268,0.96875,0.016187187284231186,1.0
16,849,0.08971602469682693,0.9453125,0.035341642796993256,1.0
17,899,0.030526086688041687,0.9921875,0.01207035779953003,1.0
18,949,0.06527473032474518,0.984375,0.0027154586277902126,1.0
19,999,0.048837848007678986,0.984375,0.004780599847435951,1.0
